node_621,2248.6740207067005,1039.2876006349227,2,45 Francis,"",Elevator K Floor 2,Elevator K2
node_622,2228.935585625527,903.693133555559,2,45 Francis,"",Staircase Intersection 10 Level 2,Stair B1002
node_615,1947.9532513247866,910.2382948400149,2,45 Francis,"",Hallway Connector 3 Floor 2,Hallway W0302
node_616,2086.276512614096,905.0879606430725,2,45 Francis,"",Hallway Connector 3 Floor 2,Hallway W0302
node_612,2098.8373137277536,1281.7853631783516,2,45 Francis,"",Staircase Intersection 9 Level 2,Stair B0902
node_613,2143.3260300150587,1281.7853631783516,2,45 Francis,"",Staircase Intersection 9 Level 2,Stair B0902
node_614,2180.3999602544795,1281.7853631783516,2,45 Francis,"",Staircase Intersection 9 Level 2,Stair B0902
CSERV001L1,2490,1043,L1,45 Francis,SERV,Volunteers Floor L1,Service C001L1
CDEPT004L1,2310,1043,L1,45 Francis,DEPT,Medical Records Film Library Floor L1,Department C004L1
CCONF002L1,2665,1043,L1,45 Francis,CONF,Medical Records Conference Room Floor L1,Conf C002L1
CCONF003L1,2445,1245,L1,45 Francis,CONF,Abrams Conference Room,Conf C003L1
CHALL002L1,2445,1043,L1,45 Francis,HALL,Hallway 2 Floor L1,Hallway C002L1
WELEV00HL1,2720.154943212439,1066.6478180886602,L1,45 Francis,ELEV,Elevator H Floor L1,Elevator HL1
CHALL007L1,2132.7864029343045,1051.3407970545734,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
DHALL00302,4725,995,2,15 Francis,HALL,Hallway 3 Floor 2,Hallway D0302
Hall_34,2771.2523529095142,1034.0364905632434,L1,"","","",""
ACONF00102,1580,2538,2,BTM,HALL,Hall,Hall
ACONF00103,1648,2968,3,BTM,CONF,BTM Conference Center,BTM Conference
ADEPT00101,1401,2628,1,BTM,DEPT,Neuroscience Waiting Room,Neuro Waiting Room
ADEPT00102,1392.6012732242716,2669.168817175629,2,BTM,DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy
ADEPT00201,1720,2847,1,BTM,DEPT,MS Waiting,MS Waiting
ADEPT00301,986,2852,1,BTM,DEPT,CART Waiting,CART Waiting
AELEV00S01,1534,2777,1,BTM,ELEV,Elevator S 01,Elevator S 1
AELEV00S02,1532,2777,2,BTM,ELEV,Elevator S 02,Elevator S 2
AELEV00S03,1539,2773,3,BTM,ELEV,Elevator S Floor 3,Elevator S 3
AELEV00SL2,1630,2742,L2,BTM,ELEV,Elevator S L2,Elevator S L2
AEXIT001L2,1696,2788,L2,BTM,EXIT,Parking Garage L2,Parking Garage L2
AHALL00101,1638,2553,1,BTM,HALL,Hall,Hall
AHALL00102,1591,2560,2,BTM,HALL,Hall,Hall
AHALL00103,1534,2732,3,BTM,HALL,Hall,Hall
AHALL001L2,1627,2782,L2,BTM,HALL,Hallway to Elevator,Hall
AHALL00201,1608,2596,1,BTM,HALL,Hall,Hall
AHALL00202,1590,2604,2,BTM,HALL,Hall,Hall
AHALL00203,1600,2732,3,BTM,HALL,Hall,Hall
AHALL002L2,1698,2776,L2,BTM,HALL,Hallway Intersection,Hall
AHALL00301,1608,2737,1,BTM,HALL,Hall,Hall
AHALL00302,1590,2745,2,BTM,HALL,Hall,Hall
AHALL00303,1650,2732,3,BTM,HALL,Hall,Hall
AHALL003L2,1701,2734,L2,BTM,HALL,Hall,Hall
AHALL00401,1420,2737,1,BTM,HALL,Hall,Hall
AHALL00402,1528,2745,2,BTM,HALL,Hall,Hall
AHALL00403,1650,2766,3,BTM,HALL,Hall,Hall
AHALL004L2,1698,2687,L2,BTM,HALL,Hall,Hall
AHALL00501,1420,2865,1,BTM,HALL,Hall,Hall
AHALL00502,1392.6012732242716,2745,2,BTM,HALL,Hall,Hall
AHALL00503,1650,2855,3,BTM,HALL,Hall,Hall
AHALL00601,1678,2865,1,BTM,HALL,Hall,Hall
AHALL00602,1683,2543,2,BTM,HALL,Hall,Hall
AHALL00603,1580,2858,3,BTM,HALL,HallNode,HallNode
AHALL00701,1017,2865,1,BTM,HALL,Hall,Hall
AHALL00801,1532,2739,1,BTM,HALL,Hall,Hall
AHALL00901,1581,2566,1,BTM,HALL,Hall,Hall
AHALL01001,1605,2568,1,BTM,HALL,Hall,Hall
AINFO001L2,1681,2747,L2,BTM,INFO,BTM Security Desk,Security
ALABS00103,1611,2678,3,BTM,LABS,Innovation Hub,Innovation Hub
ALABS001L2,1667,2682,L2,BTM,LABS,MRI CT Scan Imaging,MRI CT Imaging
ALABS00203,1671,2695,3,BTM,LABS,Clinical Trials,Clinical Trials
AREST00101,1556,2604,1,BTM,REST,Restroom S elevator 1st floor,Restroom
AREST00103,1552,2854,3,BTM,REST,Restroom BTM conference center 3rd floor,Restroom
ARETL00101,1619,2522,1,BTM,RETL,Cafe,Cafe
ASTAI00101,1642,2596,1,BTM,STAI,Cafe Stairs,Cafe Staris
